,wage,rent
0,45.81,22.37801061477719
1,35.98,20.450481262215188
2,50.08,28.781247043619835
3,48.98,28.461368651662966
4,51.82,18.4820267711332
5,57.57,17.122803274604262
6,46.29,12.11788465268225
7,21.22,19.608568441842337
8,49.84,10.694167882265287
9,53.95,24.84659083580794
10,36.89,20.526566718149063
11,51.26,19.00147265562549
12,38.54,21.05690308620456
13,21.61,5.918700670257348
14,36.21,14.36152233711924
15,36.11,21.559758130819684
16,46.57,21.2602541969678
17,55.07,21.42609511202127
18,54.06,29.51482293287555
19,49.34,22.977258116450493
20,47.27,15.867072475028682
21,24.11,8.287537993003754
22,50.92,24.416637714607592
23,52.89,18.906185809450285
24,28.87,17.154316528218587
25,56.98,22.54246695865317
26,26.25,14.781460360788477
27,42.85,17.26741626402093
28,36.31,13.294603458678063
29,56.74,14.446372955547467
30,59.19,22.81262725902151
31,57.77,19.262988660271546
32,43.53,10.781134898665254
33,22.88,11.55626927619159
34,29.66,6.156693780808279
35,54.86,23.612824638774423
36,20.21,14.132602538592177
37,20.16,9.228304923356946
38,28.52,16.34321947772924
39,21.46,11.168912565714503
40,53.85,29.966254119435145
41,43.06,18.903368848367798
42,20.45,14.361762214597066
43,54.29,18.474329438557962
44,42.41,20.735675135171316
45,49.63,17.679157397886975
46,28.02,17.035555127179492
47,28.99,11.000322539735947
48,29.69,14.270411524109592
49,24.55,15.38166186637561
50,30.39,15.037589305248032
51,29.35,8.529177701165187
52,46.09,19.087576577691685
53,20.01,18.33897472827057
54,26.95,10.491371046459115
55,42.57,17.279702207693834
56,59.71,13.618455567268017
57,45.32,19.607000905804007
58,43.14,18.11158212187693
59,26.12,6.00710093234077
60,31.67,26.70183527495733
61,39.09,16.437211877475765
62,40.7,20.583488032646773
63,48.12,27.664463065809674
64,49.35,27.213931906061212
65,51.0,20.402692158134467
66,37.63,13.161592549086446
67,53.15,16.963019117404976
68,43.26,20.24501080316203
69,45.46,19.10500021423934
70,28.52,12.773791141370186
71,44.96,13.851312018792726
72,36.59,20.439747041860855
73,53.5,20.0784769294463
74,57.18,34.08279610642416
75,58.03,20.505311296843328
76,27.43,5.905513104276801
77,22.86,13.405822124130204
78,57.01,13.0266959313855
79,20.74,7.990766934279701
80,27.16,7.452967199252766
81,39.31,15.156672941799888
82,23.9,12.021302039634556
83,58.57,27.56191274347504
84,39.2,20.581186413897584
85,49.81,21.71651136055774
86,20.44,-1.0235184924634595
87,25.89,16.27706920480215
88,37.62,22.39226379052877
89,29.84,19.56834077463254
90,55.23,24.964326542449804
91,40.77,21.661928959841646
92,55.36,22.82037289971821
93,52.79,26.921843299977624
94,56.45,26.415603566473727
95,43.29,12.652224171764232
96,41.71,20.266967541670002
97,21.72,6.883410807925928
98,25.04,19.73548786711669
99,28.02,25.291065887585958
100,38.06,14.335999511773819
101,38.92,20.481418774238907
102,20.4,15.328881575092792
103,22.27,2.8483916190882823
104,26.6,12.938555667934033
105,35.37,18.90033695975767
106,49.74,15.074799278761171
107,51.93,12.165820393445022
108,21.53,14.41566176335535
109,33.53,16.229059559222044
110,52.54,21.221328145477052
111,50.74,20.57318711747948
112,56.01,22.830328104946304
113,48.71,30.26466134906019
114,47.27,15.020521325972826
115,32.37,16.613556503549745
116,59.02,18.59452619759825
117,29.92,8.390287091803867
118,36.16,11.995472848210094
119,53.23,24.260259629597165
120,44.71,15.396373751740992
121,50.66,21.562670807088416
122,52.15,27.172442721471022
123,43.4,14.700842313577038
124,33.37,15.384326835789016
125,45.65,17.87211742403368
126,47.86,20.004472695451835
127,57.3,23.41491424727096
128,49.26,19.515579703247205
129,33.88,15.611893792166482
130,46.33,12.758176468586102
131,42.66,17.571330541254582
132,44.94,6.309809925123169
133,22.29,10.307258484524109
134,26.77,11.388148912504876
135,21.48,10.05024947814222
136,29.54,17.842887318780626
137,33.06,10.759298976809944
138,23.88,-2.7747234865529595
139,43.49,19.935382496674976
140,42.59,23.887953637347394
141,47.37,22.299005898005163
142,45.92,12.871360590089745
143,56.87,16.071622931697334
144,20.64,12.104426549212928
145,41.21,20.698495868295243
146,42.83,19.556488366353733
147,43.3,21.155660830916744
148,40.4,11.896817072753441
149,31.89,9.033925452935481
150,46.18,20.791213399880732
151,57.66,20.613130968699625
152,38.47,9.046842518341066
153,42.53,22.077138785820765
154,35.05,16.277834481980577
155,54.53,20.860987344472633
156,24.66,17.435016808687358
157,38.66,14.905879607160486
158,57.24,29.99800209497264
159,40.31,11.63841268814662
160,21.2,12.772665497902608
161,58.73,23.146200816828475
162,40.45,14.01241018010704
163,43.12,9.146713556643178
164,40.76,11.939906483821568
165,25.35,12.870003669045417
166,30.01,13.36790991277108
167,33.02,13.998754517716746
168,41.74,18.46904983552341
169,44.79,19.577506907713687
170,42.99,21.59340703916544
171,30.12,21.73286528433021
172,50.62,16.323042854665132
173,35.13,15.016931215331583
174,23.77,11.942666067697285
175,49.9,18.634021877872225
176,50.58,20.311084845773124
177,55.12,27.134960249908836
178,50.59,21.05744015303025
179,54.45,22.59734975966972
180,28.18,8.942498126398789
181,26.83,19.434096305005962
182,40.02,32.528735816900124
183,37.48,18.626111133880478
184,46.78,21.1869467674916
185,44.56,22.562464499204687
186,57.45,17.750430964805528
187,54.44,24.711125076729065
188,39.92,23.584419218741917
189,45.99,19.377833143765887
190,24.81,7.731882042428365
191,26.73,15.001280173289611
192,53.51,15.44903726366114
193,36.94,16.209252871822432
194,36.69,15.771392176690508
195,36.64,17.2714327454771
196,58.12,30.240948471232002
197,59.9,18.199489456220526
198,28.98,17.468153975300492
199,48.18,20.40321586916577
200,35.79,19.936254862443793
201,25.63,17.230187479572038
202,45.23,16.26511319812995
203,51.12,14.44203333827923
204,59.18,25.594086266780014
205,49.77,14.009617427065532
206,56.34,20.03169280276667
207,31.65,10.32468315362707
208,35.84,21.22074360749695
209,53.38,34.814740296510145
210,47.56,18.53740560759929
211,50.45,17.793518356006835
212,23.22,9.794372865677609
213,22.37,15.787387700936787
214,20.63,9.40278841421017
215,51.11,17.435702577560008
216,21.4,12.166015318297143
217,22.89,8.255132803910383
218,54.53,22.547553766181295
219,49.43,12.063652534236807
220,33.24,15.989435861124324
221,57.48,14.744961868549932
222,23.0,8.705817005330292
223,39.37,23.94570229616785
224,46.17,7.236325957923768
225,28.92,17.95302184365722
226,53.69,17.55662906295554
227,49.18,9.151093577995477
228,41.11,12.309583534310974
229,54.46,20.807041197523105
230,34.78,18.664748481367358
231,30.67,12.567749297003498
232,24.96,15.120548966687178
233,40.75,12.017082415759077
234,34.63,13.125240787545094
235,47.53,13.12066017078152
236,42.5,22.556113569574656
237,55.63,15.507551263747043
238,34.96,23.472567694381077
239,24.22,16.55034559258348
240,51.15,27.69883492514044
241,28.02,11.003442259242298
242,26.3,8.476380412634306
243,54.58,24.98376743823551
244,48.5,14.838381508527995
245,49.21,23.39309233546215
246,29.48,8.57558239419759
247,34.48,15.062322476013309
248,30.95,17.234200236732597
249,32.15,10.283181837238654
250,41.97,15.672583700163166
251,23.87,13.311451077121333
252,34.5,28.97655100438675
253,47.56,23.46744068569478
254,31.29,11.898568409263653
255,35.63,13.361960220985166
256,52.87,13.622755177369633
257,34.67,22.565417742808073
258,35.57,12.833948325904927
259,27.87,4.206741842966672
260,36.92,10.07473246706412
261,27.12,10.162970171613306
262,21.59,15.869317923373513
263,53.13,20.307077060220106
264,39.45,22.20954570822557
265,22.14,3.707140448506985
266,24.63,9.80438054768969
267,58.69,20.49182224181356
268,27.87,6.518777955297908
269,22.74,14.760690089058027
270,29.86,6.961599156759986
271,27.01,17.85885362945782
272,50.42,25.088855708959187
273,25.83,17.44028499986567
274,45.05,16.38263102931492
275,49.74,21.715516563555703
276,25.15,13.512714723156042
277,38.26,19.179191087088398
278,38.22,17.969768706786216
279,51.88,19.601067568476992
280,21.76,8.92916615777121
281,35.45,21.252067020309116
282,31.92,17.08233836862474
283,38.96,16.598161204360757
284,55.08,33.66898519371412
285,45.54,18.048291437194102
286,44.03,25.20481691631768
287,50.97,15.521541684025468
288,38.8,17.543585209942563
289,59.1,17.097463020689865
290,44.62,19.43201496090935
291,26.45,18.70722274369316
292,38.31,13.591216077991978
293,23.01,9.99490659875277
294,55.78,15.217714698836303
295,54.27,17.518622003350664
296,21.33,12.528263845906501
297,36.43,15.885403397246133
298,40.99,22.324721653260397
299,21.13,8.096255268775955
300,56.78,26.347093936226745
301,27.73,9.873609256570324
302,26.11,8.759680980846383
303,27.89,13.561258845835555
304,33.9,19.20152315692779
305,46.77,13.388854567635232
306,45.16,19.13994238114081
307,42.96,19.139823151725835
308,23.41,11.840253570307832
309,42.67,15.957025328916664
310,34.52,3.1632735046590046
311,28.56,17.114500558216086
312,43.38,14.2718390358797
313,36.38,10.405616369402996
314,40.0,13.852143784553135
315,51.2,12.019445617386161
316,33.18,15.55092233650984
317,58.13,22.968699966803385
318,51.5,21.400910367107688
319,57.11,30.92217293860382
320,48.57,22.185401597330163
321,29.28,15.060919328084037
322,28.06,14.305357272358771
323,49.21,9.342961615494445
324,59.08,22.0359111172126
325,30.0,12.896447384984008
326,34.13,18.00853982365712
327,47.84,12.612969892956041
328,39.18,17.830031359407762
329,31.3,9.84971533863824
330,43.99,24.14272326003714
331,21.93,16.49236432686558
332,37.83,16.389374891538505
333,32.84,12.695781046580745
334,41.8,8.962650966135397
335,23.99,13.884321945704892
336,37.46,15.022294566841675
337,29.78,12.167974005635461
338,41.6,17.28559472324139
339,53.2,24.069090448674054
340,29.71,4.524735203340118
341,45.36,20.93804060158662
342,39.4,18.491154907926497
343,22.29,15.036073339311045
344,59.55,21.965048562969773
345,26.04,13.232704919027631
346,53.7,24.819999774569315
347,34.06,13.243005066659022
348,57.14,24.391216359007956
349,57.26,23.58988459912122
350,38.38,16.559706933770883
351,21.97,7.717560535410447
352,40.41,18.843684433139014
353,39.09,16.021720914744677
354,41.05,16.309693533377306
355,49.15,18.685902726877725
356,33.37,9.889120700535802
357,46.41,25.571141072000437
358,50.46,24.911578298463617
359,20.59,1.6382280355346008
360,54.46,19.288124206205076
361,54.07,25.427399472411608
362,27.11,25.75042990240963
363,33.89,14.83661554402242
364,36.76,10.36691907750938
365,55.65,22.753253620846184
366,37.91,13.02503804603868
367,37.1,13.649783772962616
368,56.27,14.644541568152324
369,28.38,16.030736233295844
370,48.82,22.770175788527222
371,35.71,6.39665855415414
372,31.73,16.310547271609362
373,28.92,11.309711711134657
374,30.84,12.81069037981252
375,56.41,18.60802309724446
376,30.36,16.59144950031602
377,48.01,14.751499795367469
378,59.4,30.494369331537175
379,59.84,13.781261100891633
380,59.34,23.981817581770777
381,35.39,14.879330672825116
382,51.43,19.96126425047084
383,38.25,18.378644516315894
384,44.04,14.251620461842101
